x,CCA,ICA
0.0,3.6864,3.1759
0.0001538542999779209,3.6899,3.1758
0.008203231539731874,3.8828,3.21
0.015235571913398012,4.1119,3.3705
0.01602981976068663,4.1484,3.3919
0.019923132793244796,4.4166,3.5109
0.022979238660988045,4.7597,3.6364
0.02539395192752463,5.0053,3.7475
0.028207287698549473,5.287,3.912
0.028936597042600657,5.3709,3.957
0.03242829040898269,5.9237,4.1647
0.03290983438683567,6.0077,4.193
0.035085773772237684,6.3485,4.3392
0.03688307173107067,6.619,4.488
0.03829073867047905,6.8426,4.604
0.0404786667026326,7.1964,4.7624
0.040857308129201644,7.2557,4.7914
0.04384048306253977,7.7181,5.0231
0.04483054547343665,7.8925,5.0908
0.04649796642579477,8.2517,5.1996
0.04781172229898286,8.5292,5.297
0.04970293132403614,8.8392,5.4483
0.05173500694841984,9.1333,5.6268
0.051784959643217866,9.1405,5.6312
0.05486204564277629,9.6154,5.8775
0.05575819698745288,9.7772,5.9345
0.05783223287546693,10.2227,6.0641
0.05874037286689505,10.414,6.1365
0.06080242010815757,10.7745,6.3108
0.06271361021113006,11.0507,6.4271
0.06361675493307839,11.1686,6.4772
0.06767890807405388,11.662,6.7152
0.06807153625516636,11.7099,6.736
0.07166613217283233,12.1549,6.8904
0.07264420593697768,12.2733,6.9363
0.07682424743767652,12.6777,7.1231
0.08058568535596791,12.8846,7.2182
0.08260577233360009,12.9616,7.2514
0.09065215241166616,13.1387,7.3397
0.09646065176278065,13.1393,7.2977
0.09877645869361715,13.0954,7.2575
0.10588372810948032,12.7626,7.091
0.10836038271756647,12.579,7.0288
0.11135055102817631,12.3273,6.9366
0.11529981107890828,11.9677,6.7545
0.11572340993079554,11.93,6.736
0.12048789796063128,11.5156,6.5596
0.12223923944025009,11.3565,6.4825
0.12493868306713542,11.0885,6.349
0.12818560822900713,10.7452,6.1923
0.12876505948866424,10.6846,6.1645
0.13329377079905327,10.2046,5.9479
0.13413297607166014,10.1085,5.9106
0.13751077729390265,9.6856,5.7593
0.13908828339562432,9.4972,5.6783
0.14172778378875203,9.2203,5.5427
0.14503565123827733,8.8859,5.4029
0.1457879388219356,8.8057,5.3703
0.15039557539010556,8.3078,5.1537
0.15098202002703437,8.2492,5.1285
0.15476843429272477,7.9064,4.9772
0.15792144838837618,7.6379,4.8396
0.1597667009342153,7.4781,4.7646
0.16460811611404,7.0491,4.6022
0.164860876749718,7.0267,4.5926
0.16999701282885107,6.5847,4.3916
0.17180030511105981,6.4409,4.34
0.17554176195143198,6.1645,4.2492
0.18072385450977924,5.8296,4.094
0.18171191881288418,5.7721,4.0647
0.1878820756743364,5.4474,3.9163
0.19163152494587624,5.2693,3.8419
0.19553682662518593,5.0936,3.7679
0.20178490969052307,4.8366,3.6315
0.20452431547324681,4.7345,3.5429
0.20772028888642455,4.6239,3.445
0.21475063115229878,4.4191,3.3467
0.2213853480753726,4.2761,3.3033
0.22412375480420038,4.2302,3.2846
0.23146680093951028,4.1386,3.2184
0.24099677605307773,4.0785,3.1522
0.2442007418974231,4.0723,3.1349
0.24857360080004234,4.0751,3.1181
0.25896376131803184,4.1283,3.0961
0.2665415851188924,4.2061,3.1182
0.26801119339985036,4.2252,3.1241
0.27583778162080513,4.3492,3.1563
0.28325975301389583,4.4914,3.2105
0.2878544018814183,4.5818,3.2467
0.29302550484691,4.6777,3.2887
0.3006812548516555,4.7969,3.3569
0.3096827304542598,4.8875,3.4187
0.3097436727419134,4.8879,3.4191
0.31739942274665894,4.9153,3.4632
0.3276337308568785,4.8874,3.5013
0.3334911838488951,4.8366,3.4994
0.3347419993266377,4.8219,3.4953
0.34528801225239697,4.6469,3.4532
0.3527089845915917,4.4928,3.4091
0.35332939706098326,4.48,3.4054
0.3612229218929674,4.3289,3.353
0.369659932044354,4.2005,3.2667
0.3741596707917602,4.149,3.233
0.3786424256229351,4.1101,3.2026
0.38668880570100117,4.0724,3.1404
0.39637463322233846,4.088,3.1023
0.3979681241863955,4.0981,3.0982
0.40379560556153327,4.155,3.0963
0.4134045059328815,4.3051,3.1264
0.41979545370534105,4.4292,3.1531
0.4212171073992929,4.4578,3.1605
0.4297320437545644,4.6252,3.2147
0.4383259053676169,4.7676,3.2829
0.43963966124080495,4.7858,3.2959
