x,CCA_original,CCA_smoothed
0.0,3.6864,3.7395169928975887
0.0001538542999779,3.6899,3.801177444186141
0.0082032315397318,3.8828,3.9167168254131908
0.015235571913398,4.1119,4.070479325865675
0.0160298197606866,4.1484,4.255923800945956
0.0199231327932447,4.4166,4.478324644216421
0.022979238660988,4.7597,4.730844046392654
0.0253939519275246,5.0053,4.991889418523753
0.0282072876985494,5.287,5.25103766589017
0.0289365970426006,5.3709,5.516141017005978
0.0324282904089826,5.9237,5.790518404332628
0.0329098343868356,6.0077,6.0651384560224795
0.0350857737722376,6.3485,6.335288127349129
0.0368830717310706,6.619,6.602005421056218
0.038290738670479,6.8426,6.863875690119361
0.0404786667026326,7.1964,7.121158817832182
0.0408573081292016,7.2557,7.382116168249479
0.0438404830625397,7.7181,7.655936808688752
0.0448305454734366,7.8925,7.942305735501186
0.0464979664257947,8.2517,8.23475507673912
0.0478117222989828,8.5292,8.523855682753284
0.0497029313240361,8.8392,8.796780544987044
0.0517350069484198,9.1333,9.048994505185098
0.0517849596432178,9.1405,9.297090808230964
0.0548620456427762,9.6154,9.563827983992606
0.0557581969874528,9.7772,9.853078653531995
0.0578322328754669,10.2227,10.152294195600211
0.058740372866895,10.414,10.448276134849031
0.0608024201081575,10.7745,10.733378560030825
0.06271361021113,11.0507,11.006603923421496
0.0636167549330783,11.1686,11.274346229767746
0.0676789080740538,11.662,11.54219543308124
0.0680715362551663,11.7099,11.809761102914878
0.0716661321728323,12.1549,12.076642450936898
0.0726442059369776,12.2733,12.339972631104128
0.0768242474376765,12.6777,12.58580588869895
0.0805856853559679,12.8846,12.791895516604246
0.0826057723336,12.9616,12.941853517139194
0.0906521524116661,13.1387,13.025557463705642
0.0964606517627806,13.1393,13.02790197486129
0.0987764586936171,13.0954,12.937669907676106
0.1058837281094803,12.7626,12.76678946563823
0.1083603827175664,12.579,12.546131623291938
0.1113505510281763,12.3273,12.305175932326776
0.1152998110789082,11.9677,12.062099141791691
0.1157234099307955,11.93,11.820776197191432
0.1204878979606312,11.5156,11.575905946155617
0.12223923944025,11.3565,11.325564148510264
0.1249386830671354,11.0885,11.07253056131736
0.1281856082290071,10.7452,10.818878864914616
0.1287650594886642,10.6846,10.561700328188142
0.1332937707990532,10.2046,10.296367544196958
0.1341329760716601,10.1085,10.024066231413633
0.1375107772939026,9.6856,9.749998163360056
0.1390882833956243,9.4972,9.478909533664028
0.141727783788752,9.2203,9.212973098283403
0.1450356512382773,8.8859,8.951488049989166
0.1457879388219356,8.8057,8.691503619326008
0.1503955753901055,8.3078,8.432311052798054
0.1509820200270343,8.2492,8.17611115420205
0.1547684342927247,7.9064,7.921555352589737
0.1579214483883761,7.6379,7.6665554404352525
0.1597667009342153,7.4781,7.412257709689134
0.16460811611404,7.0491,7.160740907500469
0.164860876749718,7.0267,6.911137763450906
0.169997012828851,6.5847,6.660066496777125
0.1718003051110598,6.4409,6.408059716859337
0.1755417619514319,6.1645,6.160485856660898
0.1807238545097792,5.8296,5.924524378223199
0.1817119188128841,5.7721,5.702075555081854
0.1878820756743364,5.4474,5.488056168205463
0.1916315249458762,5.2693,5.280650834785945
0.1955368266251859,5.0936,5.083992810902695
0.201784909690523,4.8366,4.903904163116673
0.2045243154732468,4.7345,4.742296103043699
0.2077202888864245,4.6239,4.5933575513776415
0.2147506311522987,4.4191,4.45413969831025
0.2213853480753726,4.2761,4.332580226137931
0.2241237548042003,4.2302,4.236268964193081
0.2314668009395102,4.1386,4.165265216841787
0.2409967760530777,4.0785,4.119450647472403
0.2442007418974231,4.0723,4.101526571247607
0.2485736008000423,4.0751,4.112188821234799
0.2589637613180318,4.1283,4.1476398235020895
0.2665415851188924,4.2061,4.202730249781663
0.2680111933998503,4.2252,4.276249117354716
0.2758377816208051,4.3492,4.368346626883982
0.2832597530138958,4.4914,4.472589792214813
0.2878544018814183,4.5818,4.578555633389195
0.29302550484691,4.6777,4.679036722406312
0.3006812548516555,4.7969,4.767194072422256
0.3096827304542598,4.8875,4.833285639044032
0.3097436727419134,4.8879,4.870667100431369
0.3173994227466589,4.9153,4.879556196749912
0.3276337308568785,4.8874,4.862365730107944
0.3334911838488951,4.8366,4.818666619141127
0.3347419993266377,4.8219,4.746116546179572
0.3452880122523969,4.6469,4.649411529587454
0.3527089845915917,4.4928,4.543233795774457
0.3533293970609832,4.48,4.438529725079697
0.3612229218929674,4.3289,4.337655889638411
0.369659932044354,4.2005,4.246586991663568
0.3741596707917602,4.149,4.175514159837414
0.3786424256229351,4.1101,4.129088950372279
0.3866888057010011,4.0724,4.107095277564591
0.3963746332223384,4.088,4.110738770724575
0.3979681241863955,4.0981,4.144087164995339
0.4037956055615332,4.155,4.2093452399643
0.4134045059328815,4.3051,4.299409416332534
0.419795453705341,4.4292,4.400795500560967
0.4212171073992929,4.4578,4.50596560784561
0.4297320437545644,4.6252,4.611787819967894
0.4383259053676169,4.7676,4.709085820987117
0.4396396612408049,4.7858,4.787822499987708
0.4475451747195406,4.873,4.844654540530971
0.4555915547976066,4.9183,4.877024133650527
0.4624580522245434,4.9132,4.879339107149548
0.4650446027611852,4.8981,4.847523695868639
0.4721528712309443,4.8226,4.784926271498469
0.4821524016756132,4.6674,4.704021472931265
0.4842803864740091,4.6331,4.617845863276002
0.4902767079575642,4.5423,4.532538385340622
0.4998846092750165,4.4203,4.453556479794242
0.5070957802960595,4.3529,4.388854944587163
0.5081647679647373,4.3451,4.340745721963514
0.5180084460016363,4.294,4.304256613623622
0.5257421222102668,4.2669,4.273965138054395
